merchant_id,product_id,user_id,transaction_id,amount,timestamp,location,payment_method,category,age,annual_income,city,customer_segment,preferred_categories,registration_date,product_name,product_category,price,rating,stock,catalog_merchant_id,merchant_name,merchant_category,region,commission_rate,hour,day_of_week,month,is_weekend,day_period,is_working_hours,transaction_ts,transaction_date,epoch_seconds,age_group,catalog_merchant_mismatch,transaction_rank,user_transaction_count,rolling_amount_7d,active_days_7d,is_active,seconds_since_previous,days_since_previous,historical_average_amount,excess_percent,suspicion_flags,is_suspicious
M00243,P05952,U00015,TX0100628,1414.21,20240303150712,Rennes,CARD,Electronics,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Pro Camera 5952,Electronics,1528.87,3.3,1055,M00243,GadgetShop 243,Electronics,Pays de la Loire,0.0487,15,dimanche,mars,1,Afternoon,1,2024-03-03T15:07:12.000Z,2024-03-03,1709478432,Age Moyen,0,1,29,1414.21,1,0,,,,,0,0
M00166,P03200,U00015,TX0053730,1661.82,20240307192532,Rennes,CARD,Electronics,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Classic Smart TV 3200,Electronics,1721.17,2.9,123,M00166,TechStore 166,Electronics,Ile-de-France,0.0503,19,jeudi,mars,0,Evening,0,2024-03-07T19:25:32.000Z,2024-03-07,1709839532,Age Moyen,0,2,29,3076.03,2,0,361100.0,4.179398148148148,1414.21,17.508715113,0,0
M00544,P02934,U00015,TX0136570,1345.26,20240309002013,Rennes,CARD,Automotive,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Classic Tyre Set 2934,Automotive,1359.54,3.5,471,M00544,AutoCenter 544,Automotive,Occitanie,0.0282,0,samedi,mars,1,Night,0,2024-03-09T00:20:13.000Z,2024-03-09,1709943613,Age Moyen,0,3,29,4421.29,3,0,104081.0,1.2046412037037038,1538.015,-12.53271262,1,0
M00450,P04038,U00015,TX0077962,276.58,20240310201053,Rennes,CARD,Clothing,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Essential Dress 4038,Clothing,248.85,3.8,167,M00450,TrendyWear 450,Clothing,Pays de la Loire,0.0277,20,dimanche,mars,1,Evening,0,2024-03-10T20:10:53.000Z,2024-03-10,1710101453,Age Moyen,0,4,29,3283.66,3,0,157840.0,1.826851851851852,1473.763333,-81.233079029,0,0
M00107,P02045,U00015,TX0098043,39.13,20240509182054,Rennes,CARD,Books,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Elite Comic Book 2045,Books,36.97,3.3,1187,M00107,BookHaven 107,Books,Ile-de-France,0.0288,18,jeudi,mai,0,Evening,0,2024-05-09T18:20:54.000Z,2024-05-09,1715278854,Age Moyen,0,5,29,39.13,1,0,5177401.0,59.92362268518519,1174.4675,-96.668277326,0,0
M00269,P01305,U00015,TX0020398,110.39,20240512195212,Rennes,CARD,Clothing,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Pro Dress 1305,Clothing,120.55,2.9,850,M00269,FashionStore 269,Clothing,Grand Est,0.035,19,dimanche,mai,1,Evening,0,2024-05-12T19:52:12.000Z,2024-05-12,1715543532,Age Moyen,0,6,29,149.52,2,0,264678.0,3.0634027777777777,947.4,-88.348110619,0,0
M00033,P03642,U00015,TX0132591,2059.03,20240523192149,Rennes,CARD,Electronics,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Essential Camera 3642,Electronics,2143.68,4.0,243,M00033,DigitalHub 33,Electronics,,0.0715,19,jeudi,mai,0,Evening,0,2024-05-23T19:21:49.000Z,2024-05-23,1716492109,Age Moyen,0,7,29,2059.03,1,0,948577.0,10.978900462962963,807.898333,154.862513747,0,0
M00514,P05619,U00015,TX0021968,148.37,20240524141453,Rennes,BANK_TRANSFER,Health,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Elite Massage Gun 5619,Health,145.5,4.6,852,M00514,WellnessStore 514,Health,Pays de la Loire,0.0147,14,vendredi,mai,0,Afternoon,1,2024-05-24T14:14:53.000Z,2024-05-24,1716560093,Age Moyen,0,8,29,2207.4,2,0,67984.0,0.7868518518518518,986.631429,-84.961962934,0,0
M00060,P05834,U00015,TX0123027,235.27,20240528201724,Rennes,BANK_TRANSFER,Toys,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Pro Action Figure 5834,Toys,105.76,3.8,120,M00060,KidsWorld 60,Toys,,0.0361,20,mardi,mai,0,Evening,0,2024-05-28T20:17:24.000Z,2024-05-28,1716927444,Age Moyen,0,9,29,2442.67,3,0,367351.0,4.251747685185185,881.84875,-73.32082174,0,0
M00461,P04109,U00015,TX0114370,340.3,20240529074508,Rennes,CARD,Sports,59,70771.19,Rennes,Premium,"[""Electronics"",""Books"",""Clothing""]",20240608,Elite Tennis Racket 4109,Sports,162.56,2.1,455,M00461,SportHub 461,Sports,Ile-de-France,0.0411,7,mercredi,mai,0,Morning,0,2024-05-29T07:45:08.000Z,2024-05-29,1716968708,Age Moyen,0,10,29,2782.97,4,0,41264.0,0.4775925925925925,810.006667,-57.988000116,0,0
